symbol,company,exchange
RELIANCE.NS,Reliance Industries,NSE
TCS.NS,Tata Consultancy Services,NSE
HDFCBANK.NS,HDFC Bank,NSE
INFY.NS,Infosys,NSE
ICICIBANK.NS,ICICI Bank,NSE
HINDUNILVR.NS,Hindustan Unilever,NSE
ITC.NS,ITC Limited,NSE
KOTAKBANK.NS,Kotak Mahindra Bank,NSE
LT.NS,Larsen and Toubro,NSE
AXISBANK.NS,Axis Bank,NSE
BAJFINANCE.NS,Bajaj Finance,NSE
ASIANPAINT.NS,Asian Paints,NSE
MARUTI.NS,Maruti Suzuki,NSE
WIPRO.NS,Wipro,NSE
HCLTECH.NS,HCL Technologies,NSE
ULTRACEMCO.NS,UltraTech Cement,NSE
TITAN.NS,Titan Company,NSE
SUNPHARMA.NS,Sun Pharmaceutical,NSE
POWERGRID.NS,Power Grid Corporation,NSE
NTPC.NS,NTPC Limited,NSE
BHARTIARTL.NS,Bharti Airtel,NSE
SBIN.NS,State Bank of India,NSE
ONGC.NS,Oil and Natural Gas Corporation,NSE
TATAMOTORS.NS,Tata Motors,NSE
TATASTEEL.NS,Tata Steel,NSE
TECHM.NS,Tech Mahindra,NSE
DIVISLAB.NS,Divi's Laboratories,NSE
CIPLA.NS,Cipla,NSE
DRREDDY.NS,Dr Reddy's Laboratories,NSE
ADANIPORTS.NS,Adani Ports,NSE
BAJAJFINSV.NS,Bajaj Finserv,NSE
BPCL.NS,Bharat Petroleum,NSE
BRITANNIA.NS,Britannia Industries,NSE
COALINDIA.NS,Coal India,NSE
EICHERMOT.NS,Eicher Motors,NSE
GRASIM.NS,Grasim Industries,NSE
HDFCLIFE.NS,HDFC Life Insurance,NSE
HEROMOTOCO.NS,Hero MotoCorp,NSE
HINDALCO.NS,Hindalco Industries,NSE
INDUSINDBK.NS,IndusInd Bank,NSE
JSWSTEEL.NS,JSW Steel,NSE
M&M.NS,Mahindra and Mahindra,NSE
NESTLEIND.NS,Nestle India,NSE
SBILIFE.NS,SBI Life Insurance,NSE
SHREECEM.NS,Shree Cement,NSE
TATACONSUM.NS,Tata Consumer Products,NSE
TRENT.NS,Trent Limited,NSE
UPL.NS,UPL Limited,NSE
VEDL.NS,Vedanta,NSE
ADANIENT.NS,Adani Enterprises,NSE
ADANIGREEN.NS,Adani Green Energy,NSE
ADANIPOWER.NS,Adani Power,NSE
AMBUJACEM.NS,Ambuja Cements,NSE
APOLLOHOSP.NS,Apollo Hospitals,NSE
BAJAJ-AUTO.NS,Bajaj Auto,NSE
BANKBARODA.NS,Bank of Baroda,NSE
BEL.NS,Bharat Electronics,NSE
BERGEPAINT.NS,Berger Paints,NSE
BOSCHLTD.NS,Bosch,NSE
CANBK.NS,Canara Bank,NSE
CHOLAFIN.NS,Cholamandalam Finance,NSE
COLPAL.NS,Colgate-Palmolive,NSE
DABUR.NS,Dabur India,NSE
DLF.NS,DLF Limited,NSE
GAIL.NS,GAIL India,NSE
GODREJCP.NS,Godrej Consumer Products,NSE
GODREJPROP.NS,Godrej Properties,NSE
HAVELLS.NS,Havells India,NSE
HDFC.NS,HDFC Limited,NSE
HDFCAMC.NS,HDFC Asset Management,NSE
ICICIGI.NS,ICICI Lombard,NSE
ICICIPRULI.NS,ICICI Prudential Life,NSE
IDEA.NS,Vodafone Idea,NSE
IDFCFIRSTB.NS,IDFC First Bank,NSE
IGL.NS,Indraprastha Gas,NSE
INDHOTEL.NS,Indian Hotels,NSE
INDUSTOWER.NS,Indus Towers,NSE
IRCTC.NS,IRCTC,NSE
JINDALSTEL.NS,Jindal Steel,NSE
JUBLFOOD.NS,Jubilant FoodWorks,NSE
LICI.NS,LIC of India,NSE
LUPIN.NS,Lupin,NSE
MARICO.NS,Marico,NSE
MCDOWELL-N.NS,United Spirits,NSE
MFSL.NS,Max Financial Services,NSE
MPHASIS.NS,Mphasis,NSE
MRF.NS,MRF,NSE
MUTHOOTFIN.NS,Muthoot Finance,NSE
NAUKRI.NS,Info Edge,NSE
NYKAA.NS,FSN E-Commerce (Nykaa),NSE
OBEROIRLTY.NS,Oberoi Realty,NSE
OFSS.NS,Oracle Financial Services,NSE
PAGEIND.NS,Page Industries,NSE
PERSISTENT.NS,Persistent Systems,NSE
PETRONET.NS,Petronet LNG,NSE
PIDILITIND.NS,Pidilite Industries,NSE
PIIND.NS,PI Industries,NSE
PNB.NS,Punjab National Bank,NSE
POLICYBZR.NS,PB Fintech (Policybazaar),NSE
PVRINOX.NS,PVR INOX,NSE
SAIL.NS,Steel Authority of India,NSE
SIEMENS.NS,Siemens India,NSE
SRF.NS,SRF Limited,NSE
STAR.NS,Star Health Insurance,NSE
SUNPHARMA.NS,Sun Pharma,NSE
SUPREMEIND.NS,Supreme Industries,NSE
TATACOMM.NS,Tata Communications,NSE
TATAELXSI.NS,Tata Elxsi,NSE
TATAPOWER.NS,Tata Power,NSE
TATVA.NS,Tatva Chintan Pharma,NSE
TORNTPHARM.NS,Torrent Pharmaceuticals,NSE
TORNTPOWER.NS,Torrent Power,NSE
TVSMOTOR.NS,TVS Motor,NSE
UNIONBANK.NS,Union Bank of India,NSE
VOLTAS.NS,Voltas,NSE
WHIRLPOOL.NS,Whirlpool India,NSE
ZOMATO.NS,Zomato,NSE
ZYDUSLIFE.NS,Zydus Lifesciences,NSE
